 No., BrcContingencyIndex, fbusCont, tbusCont, #ofPVtoPQ
 564 829 294 278 2
 565 830 316 282 2
 566 833 294 315 2
 567 834 327 294 2
 568 836 301 297 2
 569 837 329 297 2
 570 838 299 346 2
 571 839 300 301 2
 572 840 304 325 2
 573 841 323 307 2
 574 842 308 309 2
 575 843 308 309 2
 576 845 318 346 2
 577 846 342 328 2
 578 853 363 361 2
 579 855 364 366 2
 580 856 367 365 2
 581 857 406 368 2
 582 858 419 370 2
 583 859 420 370 2
 584 860 466 423 2
 585 861 484 483 2
 586 862 484 483 2
 587 863 484 483 2
 588 864 523 522 2
 589 865 523 522 2
 590 866 523 522 2
 591 867 526 525 2
 592 868 526 99997 2
 593 869 527 99997 2
 594 871 529 99996 2
 595 872 530 99996 2
 596 874 544 543 2
 597 875 551 99995 2
 598 876 552 99995 2
 599 878 561 560 2
 600 888 561 99994 2
 601 889 562 99994 2
 602 892 579 580 2
 603 893 601 579 1
 604 894 602 584 2
 605 895 603 585 2
 606 896 586 587 3
 607 900 612 590 1
 608 901 624 591 2
 609 902 632 633 2
 610 903 636 634 2
 611 904 653 636 2
 612 905 655 637 2
 613 906 656 638 2
 614 907 641 640 2
 615 908 682 643 2
 616 909 693 645 2
 617 910 694 645 2
 618 911 719 698 2
 619 912 770 749 2
